result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
90	“new regulation” site:handsoff.org	Hands Off the Internet	http://handsoff.org/hoti_docs/news/pr_040507.shtml	"Rather than participate in the recent process set up by the FCC to determine whether there is a need for new regulation , these groups are trying to ...  	16		
91	“new regulation” site:handsoff.org	Hands off the  Internet Â» Google's Virtue and Other Internet Problems	http://www.handsoff.org/blog/tiered-service/googles-virtue-and-other-internet-problems/	Could this be the same Google that's lobbying for the Feds to start a massive new regulation of VPNs and the Internet? If that ever happens, ...  	16		
92	“new regulation” site:handsoff.org	Hands off the  Internet Â» Net Neutrality Rules Harmful, Commenters ...	http://www.handsoff.org/blog/in-the-news/net-neutrality-rules-harmful-commenters-tell-fcc/	18 Jun 2007 ... âThere is no current or anticipated content discrimination or service degradation justifying new regulation by the Commission,â said a ...  	16		
93	“new regulation” site:handsoff.org	Before the Federal Communications Commission Washington, D.C. ...	http://handsoff.org/hoti_docs/studies/HOTI_Reply.pdf	File Format: PDF/Adobe Acrobat - Quick View  16 Jul 2007 ... the proponents of new regulation to include not only blocking or degradation, but even pro- competitive network management and traffic ...  	16		
94	“new regulation” site:handsoff.org	Before the Federal Communications Commission Washington, D.C. ...	http://handsoff.org/hoti_docs/studies/fcc_filing.pdf	File Format: PDF/Adobe Acrobat - Quick View  degradation justifying new regulation by the Commission. ...... law must be examined to determine whether new regulation is truly needed to deal with the ...  	16		
95	“new regulation” site:handsoff.org	Hands off the  Internet Â» 2007 Â» July	http://www.handsoff.org/blog/2007/07/page/2/	... policy makers should be particularly hesitant to enact new regulation in this area.â We don't think we could have said it any better ourselves. ...  	16		
96	“new regulation” site:thedailyshow.com/watch/wed-july-19-2006/net-neutrality-act	n/a	n/a	n/a	n/a		
97	“new regulation” site:foureyedmonsters.com/neutrality	n/a	n/a	n/a	n/a		
98	“new regulation” site:laquadrature.net/Net_neutrality	n/a	n/a	n/a	n/a		
99	nationalization site:en.wikipedia.org/wiki/Network_neutrality	n/a	n/a	n/a	n/a		
100	nationalization site:en.wikipedia.org/wiki/Network_neutrality_in_the_United_States	n/a	n/a	n/a	n/a		
101	nationalization site:savetheinternet.com	H. R. 2052	https://www.savetheinternet.com/files/HR_2052_Burr-Dingell.pdf	File Format: PDF/Adobe Acrobat - Quick View  (7) The possibility of further nationalization . 13 threatens the current give- and-take between ... and to prevent the further nationalization of the tel-  ...https://www.savetheinternet.com/files/HR_2052_Burr-Dingell.pdf 	2		
102	nationalization site:savetheinternet.com	Anonymous | Save the Internet	http://www.savetheinternet.com/story/4597	The only solution I can see is the Nationalization of Communication and therefor elimination of the need to exploit the poorest Americans proportional more ...  	2		
103	nationalization site:netneutrality.michaelgeist.ca	n/a	n/a	n/a	n/a		
104	nationalization site:wired.com/epicenter/2009/09/net-neutrality-announcement	n/a	n/a	n/a	n/a		
105	nationalization site:saveournet.ca	n/a	n/a	n/a	n/a		
106	nationalization site:news.cnet.com/Net-neutrality-showdown/2009-1028_3-6055133.html	n/a	n/a	n/a	n/a		
107	nationalization site:news.cnet.com/8301-30686_3-10357806-266.html	n/a	n/a	n/a	n/a		
108	nationalization site:searchnetworking.techtarget.com/sDefinition/0,,sid7_gci1207194,00.html	n/a	n/a	n/a	n/a		
109	nationalization site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	n/a	n/a	n/a	n/a		
110	nationalization site:cbc.ca/technology/story/2009/07/02/f-net-neutrality-faq.html	n/a	n/a	n/a	n/a		
111	nationalization site:pbs.org/moyers/moyersonamerica/net/neutrality.html	n/a	n/a	n/a	n/a		
112	nationalization site:wearetheweb.org	n/a	n/a	n/a	n/a		
113	nationalization site:news.bbc.co.uk/2/hi/8315918.stm	n/a	n/a	n/a	n/a		
114	nationalization site:wisegeek.com/what-is-net-neutrality.htm	n/a	n/a	n/a	n/a		
115	nationalization site:cybertelecom.org/ci/neutral.htm	n/a	n/a	n/a	n/a		
116	nationalization site:arstechnica.com/tech-policy/news/2009/12/big-cable-pro-net-neutrality-arguments-turn-first-amendment-on-its-head.ars	n/a	n/a	n/a	n/a		
117	nationalization site:circleid.com/topics/net_neutrality	n/a	n/a	n/a	n/a		
118	nationalization site:blogs.wsj.com/digits/2009/10/18/facebook-and-twitter-founders-join-net-neutrality-wars	n/a	n/a	n/a	n/a		
119	nationalization site:cnn.com/2009/TECH/10/24/net.neutrality.politics/index.html	n/a	n/a	n/a	n/a		
120	nationalization site:publicknowledge.org/issues/network-neutrality	n/a	n/a	n/a	n/a		
121	nationalization site:freepress.net/policy/internet/net_neutrality	n/a	n/a	n/a	n/a		
122	nationalization site:online.wsj.com/article/SB125329467451823485.html	n/a	n/a	n/a	n/a		
123	nationalization site:openinternetcoalition.com	n/a	n/a	n/a	n/a		
124	nationalization site:techcrunch.com/2008/08/31/the-net-neutrality-debate-all-on-one-page	The Net Neutrality Debate All On One Page	http://www.techcrunch.com/2008/08/31/the-net-neutrality-debate-all-on-one-page/	31 Aug 2008 ... Federal government regulation or nationalization is also very scary and while the Feds pretty much have a blank check to do whatever they ...  	1		
125	nationalization site:usatoday.com/tech/news/2009-12-09-netneutrality09_CV_N.htm	n/a	n/a	n/a	n/a		
126	nationalization site:handsoff.org	n/a	n/a	n/a	n/a		
127	nationalization site:thedailyshow.com/watch/wed-july-19-2006/net-neutrality-act	n/a	n/a	n/a	n/a		
128	nationalization site:foureyedmonsters.com/neutrality	n/a	n/a	n/a	n/a		
129	nationalization site:laquadrature.net/Net_neutrality	n/a	n/a	n/a	n/a		
130	socialism site:en.wikipedia.org/wiki/Network_neutrality	n/a	n/a	n/a	n/a		
131	socialism site:en.wikipedia.org/wiki/Network_neutrality_in_the_United_States	n/a	n/a	n/a	n/a		
132	socialism site:savetheinternet.com	Who Really Owns Your Phone? | Save the Internet	http://www.savetheinternet.com/blog/09/06/16/who-really-owns-your-phone	16 Jun 2009 ... If this is socialism , then we've been socialists for many decades. A more modern example of this type of negotiation is how the database ...  	10		
133	socialism site:savetheinternet.com	Will 'Astroturf' Groups Block Net Neutrality Reform? | Save the ...	http://www.savetheinternet.com/blog/09/09/03/will-%E2%80%98astroturf%E2%80%99-groups-block-net-neutrality-reform	3 Sep 2009 ... Scott Cleland, who heads the operation, has made it his job to bash Net Neutrality, even likening it to socialism : "Just like the Soviet ...  	10		
134	socialism site:savetheinternet.com	Keep Off the Astroturf | Save the Internet	http://www.savetheinternet.com/blog/09/08/19/keep-astroturf	19 Aug 2009 ... The Boy Who Cried Socialism . All Net Neutrality really does is protect market ... And oppose it he has: "Just like the Soviet socialists , ...  	10		
135	socialism site:savetheinternet.com	Time for Net Neutrality  | Save the Internet	http://www.savetheinternet.com/blog/09/10/30/time-net-neutrality	30 Oct 2009 ...  socialism sucks. By really rand (not verified) on October 31, 2009. socialism is not an answer! Blogger Bio. Rep. Ed Markey ...  	10		
136	socialism site:savetheinternet.com	The cable news "fascist socialist" apocalypse | Free Press	https://www.savetheinternet.com/node/56585	Amidst economic crisis, is America drifting towards socialism ? Or fascism? Or some "weirdo" hybrid of both?! Only cable McNews has the answer. ...  	10		
137	socialism site:savetheinternet.com	Must See Videos | Free Press	https://www.savetheinternet.com/audio/by/title/sprouts_11_07_07	Amidst economic crisis, is America drifting towards socialism ? Or fascism? Or some "weirdo" hybrid of both?! Only cable McNews has the answer. ...  	10		
138	socialism site:savetheinternet.com	JANET HENRY | Save the Internet	http://www.savetheinternet.com/story/23001	Free Internet will help to keep us from falling further into Communism/ Socialism . Not everyone has the ability to read the congressional reports etc. ...www.savetheinternet.com/story/23001 - Cached 	10		
139	socialism site:savetheinternet.com	Save the Internet | Join the fight for Internet Freedom	http://www.savetheinternet.com/node?page=2067	Don't bow to socialism -- fight it! Net Neutrality is essential to free speech, equal opportunity and economic innovation in America. ...  	10		
140	socialism site:savetheinternet.com	Save the Internet	http://www.savetheinternet.com/stories/all?page=1112	How is total control by two or three companies different from a monopoly? or socialism ? or communism? In a "free" society, speech should be free. ...  	10		
141	socialism site:savetheinternet.com	Miklos Palmer |  Save the Internet	http://www.savetheinternet.com/story/12494	... a government and few companies that control all aspects of our market with no social care we have effectively skiped socialism and gone to communism. ...  	10		
142	socialism site:netneutrality.michaelgeist.ca	n/a	n/a	n/a	n/a		
